tag,text,geo,mentions,hashtags,id,permalink
1,হিজরা মুক্ত রেলওয়ে সেবা চাই :) — travelling to Rajshahi,,,,1.10295413487618E+018,https://twitter.com/ashikjzs/status/1102954134876184576
1,"কিছু মরদ(পুরুষ) আছে যারা বাহিরে ঝগড়া করে না পারলে, ঘরের এসে বউয়ের সাথে ঝগড়া লেগে যায়। বাহিরের সব রাপ বউয়ের উপর ঝাড়ে। ইন্ডিয়ান হিজরা বিএসএফ গুলো ও একই। পাকিস্তানের সাথে না পেরে আমাদের সিমান্তে নিরীহ জনগণকে হত্যা করছে।",,,,1.1029446805458E+018,https://twitter.com/SdaRasel/status/1102944680545800194
1,"হিজরা :বাবা আমার বিয়ে হবে না? বাবা: হবে চিন্তা করিসনা, তোর বিয়ের জন্য যাকে ঠিক করেছি সে এখন Sms পড়ছে, Sms পড়ে লাইক না দিলে মনে করবি সে তোর স্বামী।",,,,1.10263781255221E+018,https://twitter.com/Dobirul4/status/1102637812552208384
1,এক হিজরা আরেক হিজরার ভিড়িও আপলোড দেয় বাহ বালো তো,,,,1.10262846798683E+018,https://twitter.com/SohelRa41864268/status/1102628467986829312
1,হিজরা সেজে বউয়ের কাছে ধরা খেলেন বর! এবার কি হবে? দেখুন - Funny Video - Boishakhi TV Comedy http:// dlvr.it/R070Nj pic.twitter.com/OktcEkZuBg,,,,1.10251893963914E+018,https://twitter.com/BoishakhiTweet/status/1102518939639144448
1,হিজরা কে আবার কে ভালোবেসেছিল?,,,,1.10203799346692E+018,https://twitter.com/MrKamrul20/status/1102037993466916865
1,কত জন ছেলের সাথে থেকেছেন আপনি যার কারণ এ সব ছেলেকে এক করে দেখছেন আপনার বাবা কি ছেলে মানুষ নয় নাকি হিজরা,,,,1.10175926365385E+018,https://twitter.com/ZohirAhmed71/status/1101759263653847047
1,মনে হয় হিজরা,,,,1.10171949330535E+018,https://twitter.com/EKRAMROBIN/status/1101719493305352192
1,"মিথ্যে বাদি,,,, সেই ছেলেটা তাহলে হিজরা ,,,,,}",,,,1.10146929339969E+018,https://twitter.com/sohaibrahman12/status/1101469293399691264
1,"ছেলেরা তো মেয়েদের পিতা তাহলে আপনার আব্বা খারাপ, না আপনি হিজরার মেয়ে হিজরা । হাতে তালি দিয়ে জিবন পার করেন তাই ছেলেদের দেখলে হিংসা হয় আর তাদের নামে বদনাম করেন।",,,,1.10141960555626E+018,https://twitter.com/MDFOZLERABBI16/status/1101419605556260865
1,ছেলেটাকে বলে দেন আপনি হিজরা,,,,1.1014076819429E+018,https://twitter.com/Raselhabib5/status/1101407681942904833
1,"হিজরা , ক্ষুদ্রনৃগোষ্ঠীদের ব্যাংকিং সেবায় আনতে ইসলামী ব্যাংকের ক্যাম্পেইন http:// dainiksomoysangbad24.com/archives/56049 via @Dainiksomoy24",,@Dainiksomoy24,,1.10076981532353E+018,https://twitter.com/Dainiksomoy24/status/1100769815323525120
1,চাওটা দোষের কিছু না ওনেক হিজরা আছে মেয় সেজে চেকিং করে,,,,1.1003777074001E+018,https://twitter.com/RubelHo94280809/status/1100377707400101888
1,"পুরুষ স্বামী তো তুই পাবিনা কারণ তুই একটা হাজরা হাতে তালি দিয়ে জীবন পার করতে হবে তোকে তো কোন পুরুষে নেবে না।তোর বাবাও মনে হয় পুরুষ না সেটা একটা আস্ত কুত্তা তা না হলে তোর মতন হিজরা জন্ম দিছে। হিজরা কোথাকার কথা একটু সাবধানে, আদপ কায়দা মনে হয় জন্মের পরে বাবা মা শিক্ষা দেয়। নাই।",,,,1.10022216986529E+018,https://twitter.com/MrKamrul20/status/1100222169865285632
1,সেই থেকেই সেনাবাহিনী হিজরা বাহিনী তে রুপান্তরিত হয়েছে। ওদের কোনো দায়বার আছে বলে মনে করছে না,,,,1.09994139775348E+018,https://twitter.com/NadimRa55055734/status/1099941397753483264
