text,
అది అలా రా దారికి ఇంటికి ఓ పార్శిల్ తెమ్మని ఆ అరవం గాడికి చెప్పు,1
మావ రక్కు డార్లింగ్ కి ఏమున్నాయని ఆఫర్లు అది విప్పి ఫోటోషూట్లు దిగినా తెలుగులో నో ఆఫర్స్ అరవం మరియు హిందీ భాషల్లో చేస్తుంది... అసలే నా రక్కు బేబీ స్పైడర్ సినిమా చేసి అది దొబ్బేసరికి అవకాశాలే పోయాయి... నా రక్కుని ఏమనకు మావ... అది నా జాజి పువ్వు నా మల్లెపువ్వు గులాబీ రెమ్మ...,1
"CBN takes some time to remove his mask. When KCR talked about return gift...first reaction...""this is democracy... anybody can campaign anywhere"" After few days...""తెలుగోడి దెబ్బ ఏంటో చూపిస్తా""... అక్కడికి ఏదో కెసీఆర్ మాట్లాడేది అరవం అయినట్లు...",1
1/2 అందరూ మన వాళ్ళ మీద మన బాషా మీద పడి ఎందుకు ఏడుస్తారో నాకు అర్ధంకాదు . కొంత కాలానికి అరవం వాళ్ళు కూడా మేము తెలుగు వాళ్ళ కన్నా ఎక్కువ అని రాసుకుంటారు. మనకీ ఎందుకు లే మనం ఊరుకున్నంతవరకు,1
అవును రా! నువ్వు చదివి ప్రపంచాన్ని ఉద్ధరించావు గా మరి... మీరు బాగా చదివి ఫస్ట్ క్లాస్ లో పాస్ అయ్యారు కదా... మరి పార్లమెంటు మట్టి యమున వాటర్ ఏంటి... అహ్హ అది ఆంగ్లభాష లేక అరవం బాషా... నీది నువ్వు కడుక్కొ ముందు https:// twitter.com/abntelugutv/st atus/1095689014269464576 …,1
"A.B.N.చానల్ లో 'వీకెండ్ కామెంట్ బై R.K ' గోడేమిటి? ఏది చెప్పినా తమకు అనుకూలంగా మలచుకునేదే కదా!వీక్షిస్తే విషయం'ఎండ్'అయి మెదడు 'వీకై'పోతుంది.వాయిస్ అందించే ఆయాంకరమ్మ గోడేంటీ?!ఆపరుషమైన నాటకీయత ఏంటీ?!ఆదిక్కుమాలిన ఉచ్చారణా శైలి ఏంటీ?! అరవం ,ఆంగ్లానికి పుట్టిన సంకర భాషా శైలా మనది?!..",1
పొంగల్ అనేది ఇంగ్లీష్ కాదు రా. హ్యాపీ పోంగల్ అంటే పోష్ కాదు. పొంగాల్ అనేది అరవం . సంక్రాంతి అంటే ఏమన్నా చిన్నతనం??,1
*హిందీ వింటే ఇబ్బందా ? అరవం అరిస్తే అందంగా లేదా ? మలయాళం మాట్లాడితే మధురంగా లేదా ? కన్నడం కూస్తే కమ్మగా లేదా ? తెలుగు పలికితే తేనెలా లేదా ? ఇంగ్లీషేమన్నా ఎంగిలి భాషా ? కొంచెమనుట ఏల ? కించపరచ నేల ? దేని సొగసు దానికే సొంతమగును కదా ! * ఓం ఐం హ్రీం శ్రీం మహా సరస్వత్యై నమః* pic.twitter.com/dKZtswxxmS,0
"ఓహో అరవమా,,, ఏమో మేము అరవం",0
"తెలుగు హిందీ, ఇంగ్లిష్‌, అరవం , మలయాళం ఈ మధ్య కన్నడ కూడా వినిపిస్తోంది. ఎరుకల, బంజారా, కొండ భాషల వాళ్ళూ ఉన్నారు అక్కడక్కడా.",0
"డౌటేలేదు.. అరవం వాళ్ళు ఇంకా మాస్ .అభిమానిస్తే గుడి కడతారు..ఏమన్న తేడా వస్తే అక్కడే గుడ్డలూడదీసి కొడతారు.మన జన సన్నాసుల మాదిరిలాగా ఓపిక సహనం.గుడ్డిగా ఉండరు. వాళ్ళ సంస్కృతి కి ఏమాత్రం ఆటంకం వస్తుంది అనితెలిసిన మరుక్షణమే రజనీకాంతే కాదు, ఆడి తలలో జేజమ్మ దిగినా సహించరు.ఇరగదీసేస్తారు.",0
"తమిళ్ ని తెలుగులో అరవం అంటారు. పులికాట్ సరస్సు నుంచి కంచి వరకూ దేశాన్ని అరువ వడతలై (ఉత్తర అరువ దేశం) అని, ప్రస్తుతం పోండిచెరీ ప్రాంతాన్ని అరువ నాడు అనే అనేవారు. అరువనాడులో ప్రజలు అరువులు, వారి భాష అరువం. ఇది తమిళ చెరిత్రకారులు కూడా అమగీకరించిన విషయం.",1
"మాష్టారూ, నాగమణి నాటుక్కు పోయచ్చా. వండి ఎన్జీవోడి స్వింగ్ లో పోవుదు. ( అరవం )",0
"ఎవడో డబ్బింగ్ సినిమా lip sync బాలేదు అని చెప్తున్నాడు రేయ్ అరవం లో ఆడితే చాలులే రా ఆడికి, ఇక్కడ ఆడకపోయినా ఘంటా ఫరక్ నహీ పడ్తా!",0
Telugu నేటివిటీ కాదా గడ్డం and లుంగీలు కూడా మనవి కాదా ఆ అరవం వాల్లవెన,1
