text,
@ysjagan బిసి వర్గానికి చెందిన చేనేత కులాలలో అగ్ర కులం అయిన పద్మశాలి లు రాష్ట్రంలో అధిక శాతం ఉన్నారు... వారి లో చేనేత వ్రుత్తి చేస్తున్న వారితోపాటు... ఆ కులానికి చెందిన అందరికీ లబ్ది కలిగించే విషయం మరవకండి...పద్మశాలి లు సాక్షాత్తు ఆ వేంకటేశ్వరుని కి అత్తింటి వారు.,0
"5 అత్యగ్ర, అగ్ర కులాల పేరిట ఒకరిపై ఒకరు కులం పేరుమీద సిగ్గులేకుండా..(కొందరు MP లు, సినిమానటులతో సహా) ట్రోలింగ్ చేసుకోవడం చూస్తున్నాము. విధానాలపై కాకుండా ఇలాగే చేసుకుంటే మిగిలిన బలహీనవర్గాలు/ బహుజనులు కొద్ది... https://www. facebook.com/10000046523446 2/posts/3013968008628677/ …",1
"ఇది తెలుగుదేశమా...? కాదు ఇది కమ్మ దేశం... 3% జనాభా, 40% పదవులు -- సామాజిక న్యాయమా?? కుల న్యాయమా?? అగ్రకులం అనే అహంకారంతో.. గిరిజనులకి తెలివి తేటలు ఉండవు అని దళితులుగా పుట్టాలని ఎవరు కోరుకుంటారు అని.. బిసి లు న్యాయమూర్తులుగా పనికి రారు అని.. కాపులు సంకర జాతి అలగా జనం అని..",1
నేను కమ్మ కాదు కానీ అగ్రకులం ...,1
వర్ణాశ్రమ ధర్మం అంటే ఎంతో తెలియదు.. మనువాదం అంటే ఏంటో తెలియదు.. కానీ కలియుగంలో చెలామణి అవుతున్న అగ్ర కులాల వారసులుగా గొప్పలు పోతుంటారు.. వర్ణం లేదా కులం అన్నది పుట్టుకను బట్టి కాక ప్రవర్తనని బట్టి నిర్ణయించబడుతుంది అని ఎప్పటికీ తెలుసుకోలేరు..,0
మీ ఇంట్లోది ఉచితంగా ఇవ్వడం లేదండీ మరియూ కేవలం పేదోడికే అడిగారు తప్ప రిజర్వేషన్ అనేది వున్న వారికి అడగలేదు కదా మీలాంటి వాల్లు పేదవాడి పొట్టకొట్టడం ఏమైనా న్యాయమా 70 సంవత్సరాలు అగ్రకులం … https://www. instagram.com/p/Btt-6OeFKc-/ ?utm_source=ig_twitter_share&igshid=16difthpn63sg …,0
"ఇది తెలుగుదేశమా...? కాదు. ఇది కమ్మ దేశం. 3% జనాభా, 40% పదవులు -- సామాజిక న్యాయమా??లేక కుల న్యాయమా?? అగ్రకులం అనే అహంకారంతో,గిరిజనులకి తెలివి తేటలు ఉండవు అని, దళితులుగా పుట్టాలని ఎవరు కోరుకుంటారు?అని, బిసిలు... https://www. facebook.com/10000089143311 0/posts/2550961271610229/ …",1
అన్న ఇలాంటి కేసులలో న్యాయం గురించి మాట్లాడకూడదు ఎందుకంటే అక్కడ రేప్ చేసింది ముస్లిం కదా మరి ఆ అమ్మాయి దళిత అమ్మాయి కూడా కాదు.ఆ అమ్మాయి దళిత అమ్మాయి అయుండి ఆ రేప్ చేసిన వాడు అగ్రకులం వాడైతే ఈపాటికి పెద్ద రచ్చ రచ్చ జరిగేది‌.,1
"ఇది తెలుగుదేశమా...? కాదు. ఇది కమ్మ దేశం. 3% జనాభా, 40% పదవులు -- సామాజిక న్యాయమా?? కుల న్యాయమా?? అగ్రకులం అనే అహంకారంతో, గిరిజనులకి తెలివి తేటలు ఉండవు అని, దళితులుగా పుట్టాలని ఎవరు కోరుకుంటారు? అని, బిసి లు... https://www. facebook.com/10000375775865 6/posts/1433868406748404/ …",1
పేరుకేమో అగ్రకులం అటు సర్కారీ బడుల్లో చదువుకోవాలా ఇటు కులవృత్తి కోసం వైదిక పాఠశాలల్లో చదువుకోవాలా అనే మీమాంసతోటే ఎటూ కాకుండా పోయి చివరకు ఏంచేయాలో తెలియక చితికిపోయిన ఎందరో నిరుపేద బ్రాహ్మణులు! ఇలా 2014 వరకూ బాధపడ్డవాళ్ళే ఇపుడు చంద్రబాబు #మళ్ళీనువ్వేరావాలి అంటున్నారెందుకు? pic.twitter.com/KMS78AoseL,0
కులపిచ్చి ఎలా అంటే మన టీడీపీ వైసీపీ కలిసి పైకి తిట్టుకున్నట్టు నటిస్తూ వేరే కులం అధికారం లోకి రాకుండా వారే రాష్ట్రాని దోచుకుపోతున్నారు. దీనికి పక్క రాష్ట్రం అగ్ర కుల కేసీఆర్ కూడా సపోర్ట్ చేస్తున్నాడు అంటే కులపిచ్చి ఎలాఉందో అర్ధం చేసుకోండి.,1
